postcode,name,id,typeOf,containedInPlace
N001,Snuff Gyldenia Street,_:fictional/place/snuff-gyldenia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N002,Smouldering Oskar Street,_:fictional/place/smouldering-oskar-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N003,Left-footed Unitas Street,_:fictional/place/left-footed-unitas-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N004,Stolen Hormuthia Street,_:fictional/place/stolen-hormuthia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N005,Leery Sabine Street,_:fictional/place/leery-sabine-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N006,Permissible Bettina Street,_:fictional/place/permissible-bettina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N007,Extraordinary Roma Street,_:fictional/place/extraordinary-roma-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N008,Engrossing Malzovia Street,_:fictional/place/engrossing-malzovia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N009,Guaranteed Ceraskia Street,_:fictional/place/guaranteed-ceraskia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N010,Negative Venusia Street,_:fictional/place/negative-venusia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N011,Migrating Charybdis Street,_:fictional/place/migrating-charybdis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N012,Trapped Ate Street,_:fictional/place/trapped-ate-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N013,Engraved Ceres Street,_:fictional/place/engraved-ceres-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N014,Traveled Amphitrite Street,_:fictional/place/traveled-amphitrite-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N015,Pernicious Merxia Street,_:fictional/place/pernicious-merxia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N016,Groaning Simeisa Street,_:fictional/place/groaning-simeisa-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N017,Perpetuate Paulina Street,_:fictional/place/perpetuate-paulina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N018,Smothered Urhixidur Street,_:fictional/place/smothered-urhixidur-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N019,Preparatory Moira Street,_:fictional/place/preparatory-moira-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N020,Encrusted Klotilde Street,_:fictional/place/encrusted-klotilde-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N021,Encased Elvira Street,_:fictional/place/encased-elvira-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N022,Proportionate Ekard Street,_:fictional/place/proportionate-ekard-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N023,Pronged Zerbinetta Street,_:fictional/place/pronged-zerbinetta-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N024,Promulgated Bella Street,_:fictional/place/promulgated-bella-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N025,Protracted Hippodamia Street,_:fictional/place/protracted-hippodamia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N026,Promising Lehigh Street,_:fictional/place/promising-lehigh-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N027,Prolific Leonora Street,_:fictional/place/prolific-leonora-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N028,Pulled Wratislavia Street,_:fictional/place/pulled-wratislavia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N029,Progressive Zita Street,_:fictional/place/progressive-zita-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N030,Programmed Galilea Street,_:fictional/place/programmed-galilea-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N031,Pulsed Melanie Street,_:fictional/place/pulsed-melanie-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N032,Professional Tinette Street,_:fictional/place/professional-tinette-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N033,Prodigious Ernestina Street,_:fictional/place/prodigious-ernestina-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N034,Process Gersuind Street,_:fictional/place/process-gersuind-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N035,Purgatory Hermia Street,_:fictional/place/purgatory-hermia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N036,Procedural Hildburg Street,_:fictional/place/procedural-hildburg-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N037,Problem Hela Street,_:fictional/place/problem-hela-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N038,Quick Lanzia Street,_:fictional/place/quick-lanzia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N039,Private Hagar Street,_:fictional/place/private-hagar-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N040,Printed Auravictrix Street,_:fictional/place/printed-auravictrix-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N041,Rapid-fire Gorgo Street,_:fictional/place/rapid-fire-gorgo-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N042,Primetime Genoveva Street,_:fictional/place/primetime-genoveva-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N043,Primer Oriola Street,_:fictional/place/primer-oriola-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N044,Raunchy Pax Street,_:fictional/place/raunchy-pax-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N045,Primal Fredegundis Street,_:fictional/place/primal-fredegundis-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N046,Pricier Alauda Street,_:fictional/place/pricier-alauda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N047,Priced Aaltje Street,_:fictional/place/priced-aaltje-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N048,Razed Melitta Street,_:fictional/place/razed-melitta-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N049,Prewar Ludmilla Street,_:fictional/place/prewar-ludmilla-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N050,Presumed Noemi Street,_:fictional/place/presumed-noemi-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N051,Reactive Rachele Street,_:fictional/place/reactive-rachele-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N052,Pressurized Edda Street,_:fictional/place/pressurized-edda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N053,Pressed Interamnia Street,_:fictional/place/pressed-interamnia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N054,Readable Astarte Street,_:fictional/place/readable-astarte-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N055,Presidential Carnegia Street,_:fictional/place/presidential-carnegia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N056,Preserved Erminia Street,_:fictional/place/preserved-erminia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N057,Prescient Tirza Street,_:fictional/place/prescient-tirza-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N058,Elective Mellena Street,_:fictional/place/elective-mellena-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N059,Scheming Ursula Street,_:fictional/place/scheming-ursula-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N060,Electoral Juliana Street,_:fictional/place/electoral-juliana-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N061,Intuitive Manto Street,_:fictional/place/intuitive-manto-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N062,Gleaming Sphinx Street,_:fictional/place/gleaming-sphinx-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N063,Tangible Agnes Street,_:fictional/place/tangible-agnes-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N064,Newest Hypsipyle Street,_:fictional/place/newest-hypsipyle-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N065,Pervasive Ginevra Avenue,_:fictional/place/pervasive-ginevra-avenue,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N066,Simplest Helio Street,_:fictional/place/simplest-helio-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N067,Tanked Brambilla Street,_:fictional/place/tanked-brambilla-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N068,Sceptical Dora Street,_:fictional/place/sceptical-dora-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N069,Perceptual Mancunia Street,_:fictional/place/perceptual-mancunia-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N070,Economical Tauris Street,_:fictional/place/economical-tauris-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N071,Intersecting Erika Street,_:fictional/place/intersecting-erika-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N072,Outdone Lysistrata Street,_:fictional/place/outdone-lysistrata-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N073,Bolder Hel Street,_:fictional/place/bolder-hel-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N074,Tarry Lilliana Street,_:fictional/place/tarry-lilliana-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N075,Ginger Valda Street,_:fictional/place/ginger-valda-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N076,Specific Ocllo Street,_:fictional/place/specific-ocllo-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N077,Tallest Aeria Street,_:fictional/place/tallest-aeria-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N078,Twisted Fatme Street,_:fictional/place/twisted-fatme-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N079,Pensive Selene Street,_:fictional/place/pensive-selene-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
N080,Nail-biting Ute Street,_:fictional/place/nail-biting-ute-street,_:typeof/fictional-place,_:fictional/place/cy-clxx-ward
